ANY-N BATCH CLEAN COPY
tested 42
captured 42/42
laneHits 0
stepMin 0
stepAvg 14.00
stepMedian 3
stepMax 94
stepPct0 11.9%
stepPct1to10 59.5%
stepPct11to100 28.6%
stepPct101to1000 0.0%
stepPct1001to10000 0.0%
stepPct10000plus 0.0%
worstAmp 8191 x831
slowest 2047 steps 94
highestNormalizedDelay 31 14.331285
highestDelayDensity 63 36.000000
latestPeak 63 87.50%
longestOddRun 31 run=1
longestEvenRun 255 run=6
slowestOmegaDrift 2047 drift=1.713948
highestAutocorr 33 0.500000
peakMod6 r0:1 · r2:6 · r4:34 · r5:1
peakMod12 r4:34 · r5:1 · r6:1 · r8:6
thermoMostStable 32 G=0.000000
phaseDistribution CRYSTALLIZED: 34 · FROZEN: 8
hoverStepsCorr 0.745783

start 31 | status CAPTURED | door ANCHOR/COLLECTOR | steps 71 | normDelay 14.331285 | delayDensity 35.500000 | peakPhase LATE SPIKE | peakPct 87.32% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 3 | omegaDrift 1.924883 | autocorr 0.157143 | thermoPhase FROZEN | entropy 0.9826 | gibbs 0.1109 | amp x235 | odd/even 30/41 | anchor 3077 | below none | lane NO
start 32 | status CAPTURED | door ANCHOR/COLLECTOR | steps 1 | normDelay 0.200000 | delayDensity 0.500000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 2 | peakMod12 8 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase FROZEN | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor 16 | below none | lane NO
start 33 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.594720 | delayDensity 1.500000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5332 | amp x3 | odd/even 1/2 | anchor none | below 25 | lane NO
start 39 | status CAPTURED | door BELOW-SELF | steps 13 | normDelay 2.459605 | delayDensity 6.500000 | peakPhase LATE SPIKE | peakPct 76.92% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 3 | omegaDrift 12.307692 | autocorr 0.250000 | thermoPhase CRYSTALLIZED | entropy 0.9612 | gibbs 0.2279 | amp x7 | odd/even 5/8 | anchor none | below 38 | lane NO
start 40 | status CAPTURED | door ANCHOR/COLLECTOR | steps 0 | normDelay 0.000000 | delayDensity 0.000000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 0 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase FROZEN | entropy 1.0000 | gibbs 0.0000 | amp x1 | odd/even 0/0 | anchor 40 | below none | lane NO
start 41 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.559957 | delayDensity 1.500000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5322 | amp x3 | odd/even 1/2 | anchor none | below 31 | lane NO
start 63 | status CAPTURED | door ANCHOR/COLLECTOR | steps 72 | normDelay 12.045613 | delayDensity 36.000000 | peakPhase LATE SPIKE | peakPct 87.50% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 4 | omegaDrift 1.944444 | autocorr 0.169014 | thermoPhase FROZEN | entropy 0.9799 | gibbs 0.0952 | amp x115 | odd/even 30/42 | anchor 3077 | below none | lane NO
start 64 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.166667 | delayDensity 0.500000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 32 | lane NO
start 65 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.498143 | delayDensity 1.500000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5308 | amp x3 | odd/even 1/2 | anchor none | below 49 | lane NO
start 79 | status CAPTURED | door BELOW-SELF | steps 13 | normDelay 2.062254 | delayDensity 6.500000 | peakPhase MID SPIKE | peakPct 53.85% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 3 | omegaDrift 12.307692 | autocorr 0.250000 | thermoPhase CRYSTALLIZED | entropy 0.9612 | gibbs 0.2580 | amp x10 | odd/even 5/8 | anchor none | below 76 | lane NO
start 80 | status CAPTURED | door ANCHOR/COLLECTOR | steps 0 | normDelay 0.000000 | delayDensity 0.000000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 2 | peakMod12 8 | maxOddRun 0 | maxEvenRun 0 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase FROZEN | entropy 1.0000 | gibbs 0.0000 | amp x1 | odd/even 0/0 | anchor 80 | below none | lane NO
